product_code,type,brands,lens_width,location,stock,cost_price,sale_price_s,sale_price_a,mrp,comments
FANCY SHEET,,,,NA,0.0,,450.0,,450.0,
MESMOS METAL,,,,"CT5-1,CT1-1",2.0,,500.0,,500.0,
TOM STYLE SHEET,,,,DS3-1,4.0,,400.0,,400.0,
CADINI SHEET,,,,NA,0.0,,400.0,,400.0,
J EYEWEAR METAL,,,,"T42S3-4,D10-1",5.0,,700.0,,700.0,
RAFA AERO ,,,,NA,0.0,,400.0,,400.0,
BRAVE HEART SHEET,,,,NA,0.0,,150.0,,150.0,
ROYAL NAVY SHEET,,,,L2D1S3-1,1.0,,300.0,,300.0,
NO 18 SHEET,,,,CT10-1,1.0,,300.0,,300.0,
BRYAN ADAMS SHEET,,,,D9-1,1.0,,400.0,,400.0,
NIKE SHEET,,,,NA,0.0,,600.0,,600.0,
GUCCI SHEET,,,,L1D3S2-1,1.0,,600.0,,600.0,
RS SUPRA,,,,D10-1,1.0,,300.0,,300.0,
ESCAPE TALENT SHEET,,,,NA,0.0,,450.0,,450.0,
SALEEN SHEET,,,,L5D1S1-5,5.0,,300.0,,300.0,
CELLACE SHEET,,,,NA,0.0,,300.0,,300.0,
CITY HIGH METAL,,,,NA,0.0,,400.0,,400.0,
ENVISION FIX PAD,,,,NA,0.0,,400.0,,400.0,
X ZONE SHEET,,,,NA,0.0,,300.0,,300.0,
ROMOLLK METAL,,,,NA,0.0,,400.0,,400.0,
JUDICIOUS METAL,,,,NA,0.0,,300.0,,300.0,
MENASTOP METAL,,,,NA,1.0,,450.0,,450.0,
BRYAN METAL,,,,"D10-1,CT12-1",2.0,,600.0,,600.0,
QUERCOE METAL,,,,CT2-1,1.0,,350.0,,350.0,
RANDY METAL,,,,D10-1,1.0,,300.0,,300.0,
GOLDEN TIME METAL,,,,CT2-1,1.0,,500.0,,500.0,
EYEWEAR LABS GOGGLES,,,,DISPAY-1,1.0,,400.0,,400.0,
TURBAN KING AVIATOR,F,,,CT9-1,1.0,,400.0,,400.0,
RESOURCE METAL FRAME,PF,,,"CT1-1,CT12-1",2.0,,500.0,,500.0,
T-HEAVEN,PF,,,"BOX-22,CT7-1,CT10-1",24.0,,450.0,,450.0,
ESCAPE PRODIGY TR,PF,,,"BOX-38,CT10-1",39.0,,700.0,,700.0,
MANGO CARBON,PF,,,"BOX-14,CT6-1,CT11-1",16.0,,150.0,,150.0,
RIHAXNI METAL,PF,,,"BOX-2,CT9-1",3.0,,450.0,,450.0,
HANKER ,PF,,,"BOX-12,CT1-2,CT9-1",15.0,,350.0,,350.0,
HAPPY DREAM METAL,PF,,,"C6R3-11,CT12-2",13.0,,300.0,,300.0,
COMFORT,PF,,,"BOX-2,CT11-1",3.0,,150.0,,150.0,
CLUB,PF,,,"BOX-3,CT11-1",4.0,,150.0,,150.0,
PREMIUM,PF,,,"BOX-1,CT11-1",2.0,,200.0,,200.0,
ESCAPE ZIGZAG,PF,,,"C8R1-3,CT13-3",6.0,,200.0,,200.0,
LIFE LONG,PF,,,"C8R1-1,CT7-2",3.0,,450.0,,450.0,
LOUIS ART,PF,,,"C8R1-1,CT3-1,CT7-1",3.0,,450.0,,450.0,
SHAE NIRE,PF,,,"CT3-1,CT6-1",2.0,,450.0,,450.0,
ESCAPE SHEET,PF,,,na,0.0,,300.0,,300.0,
LEMON SHEET,PF,,,NA,0.0,,400.0,,400.0,
FICTION FRANCE SHEET,PF,,,"C8R1-1,CT3-2,CT6-1",4.0,,450.0,,450.0,
VACATION,PF,,,NA,0.0,,500.0,,500.0,
FLASH CARO METAL,PF,,,NA,0.0,,500.0,,500.0,
FLAKE METAL,PF,,,CT12-1,1.0,,400.0,,400.0,
PRIVATE FULL METAL,PF,,,CT1-2,2.0,,600.0,,600.0,
END GAME SHEET,PF,,,"C8R1-22,CT6-2",25.0,,300.0,,300.0,
PRADA METAL(CONFIDENCE),PF,,,NA,0.0,,550.0,,550.0,
CARTIER METAL(CONFIDENCE),PF,,,D10-1,1.0,,550.0,,550.0,
RAYBAN METAL(CONFIDENCE),PF,,,D10-1,1.0,,550.0,,550.0,
TITAN EYE (CONFIDENCE),PF,,,NA,0.0,,550.0,,550.0,
VOGUE METAL (CONFIDENCE),PF,,,NA,0.0,,550.0,,550.0,
IDEE METAL (CONFIDENCE),PF,,,"C8R2-1,CT12-1",2.0,,550.0,,550.0,
VFIB20K_C0078_53,,FILA,53.0,T83S1-1,1.0,,4950.0,,4950.0,
VFID66K_C0700_54,,FILA,54.0,NA,0.0,,4950.0,,4950.0,
VFI991K_C0Z42_55,,FILA,55.0,T83S1-1,0.0,,4950.0,,4950.0,
VFI991K_C07GN_55,,FILA,55.0,NA,0.0,,4950.0,,4950.0,
VFID60K_C0579_53,,FILA,53.0,T83S2-1,1.0,,4950.0,,4950.0,
VFID59K_C0300_52,,FILA,52.0,T83S2-1,0.0,,4950.0,,4950.0,
VFID67K_C0627_54,,FILA,54.0,T83S2-1,1.0,,4950.0,,4950.0,
VFIF62K_C0300_54,,FILA,54.0,T83S3-1,1.0,,4200.0,,4200.0,
VFIF62K_C0531_54,,FILA,54.0,T83S3-1,1.0,,4200.0,,4200.0,
VFID68K_C0622_53,,FILA,53.0,T83S3-1,1.0,,4950.0,,4950.0,
RENOWII,,,,"BOX-11,CT12-1",12.0,,300.0,,300.0,
